,J,Cn,eta,ns,V,N,Nr
0,0.0,0.062,0.0,2287.8,0.0,74.0,0.0
1,0.05263157894736842,0.061,0.088,2306.52,3.46,74.0,5.462
2,0.10526315789473684,0.062,0.167,2287.8,6.863,74.0,10.281
3,0.15789473684210525,0.063,0.26,2269.62,10.213,74.0,15.879
4,0.21052631578947367,0.063,0.345,2269.62,13.618,74.0,21.07
5,0.2631578947368421,0.063,0.433,2269.62,17.022,74.0,26.444
6,0.3157894736842105,0.064,0.511,2251.8,20.266,74.0,30.963
7,0.3684210526315789,0.063,0.573,2269.62,23.831,74.0,34.995
8,0.42105263157894735,0.063,0.629,2269.62,27.235,74.0,38.415
9,0.47368421052631576,0.062,0.679,2287.8,30.886,74.0,41.801
10,0.5263157894736842,0.06,0.72,2325.6600000000003,34.885,74.0,45.058
11,0.5789473684210527,0.057,0.753,2386.08,39.37,74.0,48.348
12,0.631578947368421,0.054,0.782,2451.42,44.126,74.0,51.585
13,0.6842105263157894,0.05,0.807,2547.6,49.678,74.0,55.323
14,0.7368421052631579,0.045,0.831,2685.42,56.394,74.0,60.05
15,0.7894736842105263,0.041,0.843,2813.34,63.301,74.0,63.819
16,0.8421052631578947,0.036,0.841,3002.4,72.057,74.0,67.946
17,0.894736842105263,0.029,0.826,3345.18,85.302,74.0,74.353
18,0.9473684210526315,0.023,0.762,3756.24,101.419,74.0,77.021
19,1.0,0.018,0.614,4246.0199999999995,121.011,74.0,70.153
