,J,Cn,eta,ns,V,N,Nr
0,0.0,0.062,0.0,2215.2599999999998,0.0,58.45,0.0
1,0.05263157894736842,0.061,0.088,2233.38,3.35,58.45,4.177
2,0.10526315789473684,0.062,0.167,2215.2599999999998,6.646,58.45,7.863
3,0.15789473684210525,0.063,0.26,2197.6200000000003,9.889,58.45,12.144
4,0.21052631578947367,0.063,0.345,2197.6200000000003,13.186,58.45,16.115
5,0.2631578947368421,0.063,0.433,2197.6200000000003,16.482,58.45,20.225
6,0.3157894736842105,0.064,0.511,2180.4,19.623,58.45,23.681
7,0.3684210526315789,0.063,0.573,2197.6200000000003,23.075,58.45,26.765
8,0.42105263157894735,0.063,0.629,2197.6200000000003,26.371,58.45,29.38
9,0.47368421052631576,0.062,0.679,2215.2599999999998,29.906,58.45,31.971
10,0.5263157894736842,0.06,0.72,2251.9199999999996,33.778,58.45,34.461
11,0.5789473684210527,0.057,0.753,2310.42,38.121,58.45,36.977
12,0.631578947368421,0.054,0.782,2373.72,42.727,58.45,39.454
13,0.6842105263157894,0.05,0.807,2466.8399999999997,48.103,58.45,42.312
14,0.7368421052631579,0.045,0.831,2600.28,54.605,58.45,45.927
15,0.7894736842105263,0.041,0.843,2724.18,61.293,58.45,48.81
16,0.8421052631578947,0.036,0.841,2907.1800000000003,69.772,58.45,51.966
17,0.894736842105263,0.029,0.826,3239.1,82.597,58.45,56.867
18,0.9473684210526315,0.023,0.762,3637.14,98.203,58.45,58.907
19,1.0,0.018,0.614,4111.38,117.174,58.45,53.655
